subject_id,window_start_s,window_end_s,label,label_name,overall_quality,is_usable,hr_mean,rr_mean_ms,rmssd_ms,sdnn_ms,pnn50,eda_scl_mean,eda_scr_count,eda_scr_amplitude_mean,eda_scr_density,eda_phasic_std,temp_mean,temp_min,temp_max,temp_slope_per_min,temp_delta_baseline,temp_std,acc_mean,acc_std,motion_ratio,ecg_quality_score,eda_quality_score,temperature_quality_score,acc_quality_score,window_duration_s,quality_overall
S10,105.0,135.0,1,low,0.9871143610945727,True,91.15022908126356,658.2539682539683,106.83093122508713,98.93256304427362,0.09090909090909091,0.41233194920275495,2.0,0.08548219420039321,4.0,0.019025637103261866,33.31447500000001,33.287,33.33,0.0564414195430195,0.1344750000000161,0.010167114061193135,62.933574965418785,2.1536152717419355,0.6416666666666667,0.948457444378291,1.0,1.0,1.0,30.0,0.9871143610945727
S10,120.0,150.0,1,low,0.989995364107443,True,93.89123778976527,639.0372670807453,74.34277417854649,70.70878885021648,0.06666666666666667,0.38816219228035526,0.0,0.0,0.0,0.001950524396109792,33.32429166666667,33.31400000000001,33.332,0.005999583304365697,0.1442916666666747,0.004463081583638401,62.985235226224404,2.1439687102461367,0.58125,0.9599814564297722,1.0,1.0,1.0,30.0,0.989995364107443
S10,135.0,165.0,1,low,1.0,True,97.85457722551209,613.1547619047619,43.61488191485075,52.20368133625416,0.02127659574468085,0.37828140313064057,0.0,0.0,0.0,0.0016968583640589795,33.326891666666675,33.322,33.337500000000006,-0.0044478088756014335,0.14689166666668285,0.003876308022963472,62.945608774368786,0.4073831416582306,0.5458333333333333,1.0,1.0,1.0,1.0,30.0,1.0
S10,150.0,180.0,1,low,1.0,True,97.79761327253323,613.5119047619048,10.021687295046036,30.232789584708133,0.0,0.37801244610201695,0.0,0.0,0.0,0.001537304443331854,33.329750000000004,33.318,33.33800000000001,0.035637474824669675,0.1497500000000116,0.005587560588784946,63.0034950021462,0.3995216070993172,0.284375,1.0,1.0,1.0,1.0,30.0,1.0
S10,165.0,195.0,1,low,1.0,True,96.72312047210096,620.3273809523808,8.054309790993388,14.616948933378719,0.0,0.37872752860009934,0.0,0.0,0.0,0.0020979196554222384,33.33305000000001,33.326,33.33800000000001,-0.0026751857767793705,0.15305000000001456,0.003460130055360078,63.015812263710124,1.7479477713902545,0.48020833333333335,1.0,1.0,1.0,1.0,30.0,1.0
S10,180.0,210.0,1,low,1.0,True,99.12817301671403,605.2769679300292,6.415330278717831,14.586721904565929,0.0,0.37965745457046934,0.0,0.0,0.0,0.0021356435009301624,33.33056666666667,33.32200000000001,33.33800000000001,-0.013277588721454276,0.15056666666667695,0.004005690396868262,62.918366423317984,1.7368553828954998,0.284375,1.0,1.0,1.0,1.0,30.0,1.0
S10,195.0,225.0,1,low,1.0,True,101.94669644157483,588.5428571428572,4.927631211285549,9.661018422916387,0.0,0.37930669924212396,0.0,0.0,0.0,0.0008347937541981759,33.32286666666667,33.31000000000001,33.33400000000001,-0.04348968678382242,0.14286666666667713,0.006512722591631687,62.85413342577273,0.1785206668535197,0.10104166666666667,1.0,1.0,1.0,1.0,30.0,1.0
S10,210.0,240.0,1,low,1.0,True,103.6485047904771,578.8795518207284,20.370046036035472,24.77706926302033,0.02,0.37815851414500407,0.0,0.0,0.0,0.001240190238919505,33.318933333333334,33.31000000000001,33.33,0.007000486144849423,0.13893333333334112,0.004434210439550338,62.86382122647248,2.1051478505734322,0.23020833333333332,1.0,1.0,1.0,1.0,30.0,1.0
S10,225.0,255.0,1,low,1.0,True,102.65995686556434,584.453781512605,10.749466052235501,23.861243546333284,0.02,0.3762814508571117,0.0,0.0,0.0,0.0012435010764279767,33.32212500000001,33.31100000000001,33.33200000000001,0.01385012848112644,0.14212500000001427,0.004950273561464606,62.78497543283212,2.1003435985566883,0.12916666666666668,1.0,1.0,1.0,1.0,30.0,1.0
S10,240.0,270.0,1,low,1.0,True,102.96591837715714,582.7170868347339,7.605046659546383,19.215756506555966,0.0,0.37677398372945176,0.0,0.0,0.0,0.0010360384303557115,33.32573333333334,33.31400000000001,33.33400000000001,0.0057203972498299635,0.1457333333333466,0.004928206795804616,62.70119449912811,0.0707110258091359,0.008333333333333333,1.0,1.0,1.0,1.0,30.0,1.0
